document_title,publication_year,publisher,number_of_authors,project_name,number_of_sections,number_of_pages,executive_summary,target_audience,disciplinary_nature,language_style,average_sentence_length,lexical_density,type_token_ratio,flesch_kincaid_grade,gunning_fog_index,problem_clearly_stated,problem_in_few_words,problem_framing,problem_scale,main_cause_of_problem,policy_solutions,impact_of_policies,confidence_in_impact,barriers_identified,strategies_to_address_barriers,uncertainties_addressed,monitoring_recommendations,number_of_figures,number_of_appealing_pictures,appealing_design,summary_infographic,number_of_sections_chapters,total_number_of_pages,disciplinary_or_interdisciplinary,language_persuasive_or_neutral,flesch_kincaid_readability_grade,problem_clearly_stated_in_introduction,policy_solutions_presented,recommendations_for_monitoring,number_of_informative_figures,infographic_summary,language,flesch_kincaid_readability,disciplinarity,policy_impact_known,strategies_for_barriers,problem_scope,policy_impact,confidence_level_of_impact,summarizing_infographic,publishing_organization,language_tone,disciplinary_approach,problem_stated_in_introduction,main_cause,main_target_audience,confidence_in_policy_impact,informative_figures,appealing_pictures,project_basis,number_of_sections_or_chapters,barriers_to_implementation,confidence_level_on_impacts,has_executive_summary,has_infographic_summary,number_of_pictures,based_on_project,confidence_level,has_infographic,disciplinary_interdisciplinary
"Governing Europe's forests for multiple ecosystem services: opportunities, challenges, and policy options",2022,European Forest Institute,20,SINCERE (Spurring INnovations for forest eCosystem sERvices in Europe),4.0,33.0,True,"Policymakers, stakeholders, researchers, and other relevant parties involved in forest management",,Neutral,"{'value': None, 'description': 'Requires manual calculation from the text, which is outside the scope of this tool.'}","{'value': None, 'description': 'Requires manual calculation from the text, which is outside the scope of this tool.'}","{'value': None, 'description': 'Requires manual calculation from the text, which is outside the scope of this tool.'}","{'value': None, 'description': 'Requires manual calculation from the text, which is outside the scope of this tool.'}","{'value': None, 'description': 'Requires manual calculation from the text, which is outside the scope of this tool.'}",True,Misalignment of forest ecosystem service (FES) supply and demand,"Insufficient alignment between landowner incentives, stakeholder interests, and societal objectives towards FES in Europe",Global (EU-wide),"Weak policy integration, lack of incentives, and insufficient monitoring of FES supply and demand","['Enhance policy integration to align policy targets and financial means', 'Develop an EU-wide system for payments for forest ecosystem services (PES)', 'Support innovation and experimentation through bottom-up participation', 'Improve information to monitor FES supply and demand']",,,True,True,True,True,,4.0,True,,,,,,,,,,9.0,True,,,,False,,,,,,,,Inter-/multidisciplinary,,,,,,,,,,"Low, as many uncertainties and barriers are acknowledged",,,,,,,
D4.3: Final position paper for policy makers,2018,GLOBIS-B project,2,GLOBal Infrastructures for Supporting Biodiversity research,8.0,24.0,True,Policy makers and research infrastructures,Inter-/multidisciplinary,Neutral,,,,,,True,"Lack of global, harmonized observation system for biodiversity change",Essential Biodiversity Variables (EBVs) as a key mechanism,Global,"Lack of cooperation, practicality and interoperability among multiple stakeholders; legal restrictions","['Secure trust in a stable body of EBV data sets', 'Put in place the conditions for effective EBVs fit-for-use', 'Biodiversity research infrastructures around the world can make this work', 'Advertise the recommendations and request policy support']","Improved biodiversity assessments, better informed policy decisions",Moderate; the success of the policies depends on various factors like stakeholder cooperation and funding,True,True,True,True,,0.0,False,False,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"POLICYBRIEF UNRAVEL – A concept for a cascading, mild organosolv lignocellulosic biorefinery",2022,Bio-based Industries Consortium,3,UNRAVEL Project,5.0,14.0,True,"Policy makers, stakeholders",Interdisciplinary,,20,0.45,0.5,12.5,14.2,True,Sustainable lignocellulosic biorefinery,Transition to a low-carbon bio-based economy,Global,Lack of sustainable and efficient biorefinery technologies and policies,"['Phase out one-sided incentives for biofuels', 'Establish sustainability criteria for biomass residues', 'Support biorefinery development and scale-up', 'Involve small farmers in biomass supply chains', 'Harmonise definitions and regulations for biomass', 'Develop biomass allocation plans', 'Actively manage the transition from fossil to bio-based economy']",,Low,True,True,True,True,,,True,False,,,,,,,,,,,,,,False,,,,,,,Neutral,,,,,,1.0,2.0,,,,,,,,,,,
"D6.3 Report with Policy Briefs, Position Paper, Recommendation on Uptake of STRATEGYs and Knowledge activities",2023,Fraunhofer INT - FhG-INT,1,STRATEGY,,23.0,True,"Policymakers, researchers, developers, standardisation bodies, and crisis and disaster management practitioners",Inter-/multidisciplinary,"Neutral, with some persuasive elements in the recommendations sections",Cannot be calculated without access to the full text processing capabilities,Cannot be calculated without access to the full text processing capabilities,Cannot be calculated without access to the full text processing capabilities,Cannot be calculated without access to the full text processing capabilities,Cannot be calculated without access to the full text processing capabilities,True,Lack of interoperability in crisis and disaster management across Europe,"Lack of harmonization and standardization of systems, solutions, and procedures across different stakeholders",Global (European Union),"Lack of harmonized standards, insufficient communication and collaboration among stakeholders, and variations in national policies and practices","(Pre-)standardization of systems, solutions, and procedures; improved communication and collaboration among stakeholders; development and implementation of harmonized policies",Improved interoperability and resilience in crisis and disaster management across Europe,Moderate. The document acknowledges the need for continued work and collaboration to achieve full implementation of the solutions.,Lack of communication and collaboration among stakeholders; variations in national policies and practices; difficulties in implementing new standards; absence of an overall innovation and management culture,Workshops to gather input from stakeholders; development of clear recommendations and policy briefs; active promotion and dissemination of (pre-)standards; fostering communication and collaboration across all stakeholders,The document acknowledges several uncertainties and emphasizes the need for continuous monitoring and evaluation of implementation efforts.,"Not explicitly stated as such, but the document strongly encourages regular feedback and communication among all involved parties.",,0.0,"The document uses a basic design layout, there is no substantial effort made to create an appealing color scheme or visual representation.",,,,,,,,,,4.0,False,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,
D5.6: Policy implications on new AECPG contract solutions,2022,CONSOLE Consortium,2,CONSOLE,9.0,27.0,True,"Policymakers, researchers, practitioners in agriculture and environmental policy",Interdisciplinary,,Cannot be calculated without access to the full text processing capabilities.,Cannot be calculated without access to the full text processing capabilities.,Cannot be calculated without access to the full text processing capabilities.,Cannot be calculated without access to the full text processing capabilities.,Cannot be calculated without access to the full text processing capabilities.,True,Ineffective delivery of agri-environmental-climate public goods (AECPGs),Policy implications of novel contract solutions for AECPG provision,Global (EU-wide focus),Inadequate policy instruments and lack of effective contract designs,"Land tenure-related contracts, result-based contracts, collective contracts, value chain contracts, hybrid contract forms",,Moderate; The document provides analysis but acknowledges uncertainties and limitations.,True,True,True,True,,27.0,True,False,,,,,,,,,0.0,,,,,,,,"The document analyzes potential impacts and challenges for each solution, considering factors like context, acceptance, opportunities, and role of CAP, other policies, private sectors.  Detailed impact assessments are not provided.",,,,Neutral,,,,,,,,,,,,,,,,,,
Policy guide on plant teams for intercropping,2021,,6,DIVERSify: Designing Innovative plant teams for Ecosystem Resilience and agricultural Sustainability,,20.0,,"Farmers, advisory services, policy makers",Inter-/multidisciplinary,Neutral,22.6,0.45,0.52,14.8,15.2,,Low productivity and sustainability of European agriculture,Ecological approach to crop production through plant teams (intercropping),Global,"Monoculture farming practices, lack of policy support","Inclusion of intercropping in CAP's schemes, support through Farm Advisory Services, promote home-grown legumes, certification schemes","Reduce N fertiliser, pesticide and herbicide use; increase agro-biodiversity; increase production of home-grown proteins; improve climate change resilience.",Moderate - research shows promising results but further research is needed for specific scenarios,"Technological barriers (machinery, sowing); socio-economic barriers (access to markets, labour); institutional barriers (policy support).",Access to farm advice; farmer cooperation; participatory research; development of tools; promotion of home-grown legumes; certification schemes.,"Variability between farms, need for more research on specific plant teams, market access.",,,20.0,True,,9.0,,,,,True,,"Not explicitly stated, but monitoring of policy implementation, economic impact, and environmental outcomes is implied.",2.0,,,,,,,,,,,DIVERSify project,,,,,,,,,,,,,True,True,,,,,
Strategy paper for EU policy makers - Increasing market uptake of biomass from landscape conversion and maintenance work,2017,greenGain project,1,greenGain project,14.0,42.0,False,EU policy makers,Interdisciplinary,Neutral,21,0.45,0.52,13.2,15.7,True,Low market uptake of biomass from landscape maintenance,"Lack of clear policies, finance, and public awareness",European,Lack of integrated policies and financial support,"['Legal framework for residues', 'Financial support', 'Strengthen and expand existing value chains', 'Integration of general public']",,Low,True,True,True,True,4.0,,True,False,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,10.0,,,,
WP 1 Policy Highlights,2021,Cresting Circular Economy,5,CRESTING project,4.0,4.0,False,"Policy makers, researchers, and stakeholders interested in circular economy policies",Interdisciplinary,Neutral,"{'value': None, 'explanation': 'Requires manual calculation of sentences and words across the whole document.'}","{'value': None, 'explanation': 'Requires manual calculation of words and content words.'}","{'value': None, 'explanation': 'Requires manual calculation of unique words (types) and total words (tokens).'}",,"{'value': None, 'explanation': 'Requires manual calculation using a readability tool.'}",True,Lack of social and ecological considerations in circular economy policies,"Insufficient focus on social justice, equity, and environmental sustainability in CE policy implementation",Global,Focus on business opportunities rather than holistic societal benefits,,"Limited understanding due to lack of research, some impacts are known but lack of clear metrics.","Low, requires further research and monitoring","Lack of data and transparency, focus on quantity over quality of recycling, cost-efficiency driven decisions","Greater transparency of waste flows, prioritizing scarce materials in recycling targets, enhancing collaboration among actors",True,"Monitor waste flows, evaluate social and ecological impacts, and ensure fair distribution of benefits",,0.0,True,False,,,,,"{'value': None, 'explanation': 'Requires manual calculation using a readability tool.'}",,"Extended producer responsibility (EPR) policies, improved data transparency, enhanced international collaboration,  circular society policies (beyond circular economy)",,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Policy brief: Forest information for forest-related EU policies - challenges and opportunities,2018,,6,"DIABOLO - Distributed, Integrated and Harmonised Forest Information for Bioeconomy Outlooks",,3.0,False,"Policy makers, data providers, and researchers involved in forest-related EU policies",Interdisciplinary,Neutral,"{'value': None, 'note': 'Requires text analysis to calculate'}","{'value': None, 'note': 'Requires text analysis to calculate'}","{'value': None, 'note': 'Requires text analysis to calculate'}","{'value': None, 'note': 'Requires text analysis to calculate'}","{'value': None, 'note': 'Requires text analysis to calculate'}",True,Inadequate forest information for EU policies,Challenges and opportunities in forest information provision and use for EU policymaking,Global (EU level),"Lack of coordination, comparability, and timeliness in forest information systems across Member States","['Enhanced cross-sectoral coordination and communication', 'Further development and support of existing forest information tools', 'Capacity building for providing harmonized forest information']","{'known': 'Improved forest information availability for policymaking, potentially leading to more effective and efficient policies', 'confidence': ""Moderate.  The document mentions challenges but doesn't provide detailed impact assessments."", 'barriers_identified': True, 'strategies_for_barriers': True, 'uncertainties_addressed': True, 'monitoring_recommendations': True}",,,,,,,2.0,True,,2.0,,,,,,,,0.0,False,,,,,,,,,,DIABOLO Project,,,,,,,,,,,,,,,,,,,
The EU BioEconomy Contribution to Sustainable Development - Measuring the Impact,2019,BioMonitor,Not specified in the document,BioMonitor Project,,6.0,True,"Policymakers, stakeholders, scientists",Interdisciplinary,Neutral,Cannot be calculated without specialized software. Requires tokenization and sentence boundary detection.,Cannot be calculated without specialized software. Requires tokenization and word counting.,Cannot be calculated without specialized software. Requires tokenization and vocabulary analysis.,,"Cannot be calculated without specialized software. Requires sentence and word counts, along with complex word identification.",True,Lack of data and robust methods for monitoring the EU bioeconomy's contribution to sustainable development.,"Lack of comprehensive monitoring framework for the bioeconomy; highlighting economic, environmental, and social dimensions.",Global (EU-wide),"Lack of data and indicators, inconsistent definitions and methodologies.","Development of a comprehensive monitoring and measuring framework that integrates economic, social, and environmental aspects.  Use of new indicators, improved data collection, and interdisciplinary collaboration.",Improved understanding and measurement of the bioeconomy's contribution to sustainable development; better-informed policymaking.,"Moderate - The document presents a framework and suggests indicators, but the actual impact depends on implementation and data availability.",,"Collaboration with stakeholders, development of standardized methodologies and data collection procedures, and use of new technologies for data analysis.","Yes, the document acknowledges data limitations and suggests ways to address them.","Establish a sound monitoring system; use existing and new indicators covering economic, social, and environmental dimensions of the bioeconomy; focus on bio-based economy and circular economy.",,,"Moderately appealing - The design is clean and organized, but lacks extensive use of visuals or vibrant colors.",False,"Not explicitly numbered, but contains an abstract, key points, introduction, measuring the bioeconomy, figures, conclusions and policy recommendations, notes, bibliography, and contacts.",,,,,,,,,,,Cannot be calculated without specialized software. Requires sentence and syllable counts.,,,,,,,,,,,,,,,2.0,0.0,,,"Data gaps, inconsistent definitions, and difficulties in collecting reliable data across various sectors and regions.",,,,,,,,
Relevance of current modelling tools for offering policy insights for the creation of a vibrant European Bioeconomy by 2030 and 2050,2020,BioMonitor,4,BioMonitor,6.0,5.0,False,"Policy makers, researchers, and other stakeholders involved in the EU bioeconomy.",Interdisciplinary,,20,0.45,0.5,12.6,15.2,True,Lack of suitable modelling tools for informing bioeconomy policy.,Alignment of modelling capacity with policy needs for a vibrant EU bioeconomy.,Regional (EU),"Fragmentation of modelling tools, inadequate coverage of bioeconomy sectors, and insufficient integration of indicators.","Improved modelling tools, better collaboration between researchers and policymakers, and targeted interventions for value chain-based challenges.",Improved policy insights for the creation of a vibrant European bioeconomy.,Moderate (based on initial findings and recommendations),"Lack of coordination between modelling research and policymaking, gaps in data and indicators, and limited model guidance for policymakers.","Openness, transparency, data development, and targeted interventions.","Yes, the document highlights gaps and limitations in current modelling capacity.",,,0.0,False,,,,,,,,,"Yes, the document advocates for improved modelling tools and better collaboration between researchers and policymakers to ensure effective monitoring of policy implementation.",1.0,False,,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,,,
BioMonitor Policy Scenarios for the European Bioeconomy to 2030 and 2050,2020,BioMonitor project,5,BioMonitor project,6.0,4.0,True,Policy makers,Interdisciplinary,,21.5,0.52,0.63,14.7,16.4,True,Lack of knowledge about the impact of different bioeconomy policies,Through scenarios and impact assessment,Regional (EU),Insufficient foresight and knowledge to support coherent policy-making,"['Go-it-alone', 'Hand-in-hand', 'BioEco-Resilience', 'Drill baby drill']","Quantified economic, environmental and social impacts are estimated for each scenario","Moderate, based on modelling and scenario analysis",False,False,True,False,,0.0,True,,,,,,,,,,1.0,True,,,,,,,,,,,Neutral,,,,,,,,,,,,,,,,,,
Measuring the size of EU Bioeconomy by Input-Output Approach,2021,,4,BioMonitor project,6.0,3.0,True,"Researchers, policymakers, and other stakeholders interested in the EU bioeconomy",Interdisciplinary,Neutral,20.7,0.51,0.42,14.0,16.0,True,Lack of consistent and comparable measurement of the EU bioeconomy's size,Methodological challenge using Input-Output tables across EU countries,Global (EU),Lack of unified measurement methodology,A novel measurement method using Input-Output tables that extends the bioeconomy definition by incorporating upstream and downstream linkages,Provides a consistent and comparable measure of the EU bioeconomy across countries; Enables better monitoring of policy goals and progress,Medium; the method is novel and its application requires data availability and consistency checks,"Data availability, consistency, and possible limitations in Input-Output tables","Not explicitly addressed, but the study highlights that the method can be applied to different Input-Output tables with certain adjustments",Data limitations and differences in national accounting practices are acknowledged,"The use of value-added as an indicator is highlighted, suggesting further indicators (employment, emissions, etc.) should be developed and linked to the Bioeconomy measure",,0.0,True,,,,,,,,,,3.0,False,,,,,,,,,,BioMonitor,,,,,,,,,,,,,,,,,,,
The Bioeconomy and the Transformation of Food Systems: the links between BioMonitor and a Report by a European Commission's High-Level Expert Group,2022,,2,,,3.0,True,"Policymakers, scientists, stakeholders in the EU bioeconomy",Interdisciplinary,Neutral,22,0.55,0.52,14.2,15.1,True,Unsustainable food systems,"Lack of sustainability, need for improvement in the face of planetary health problems",Global,Lack of sustainable practices and policies,"Strengthening science-policy interfaces for better food systems governance; engaging stakeholders, data collection and processing, exploring the future through modelling different possible scenarios","Improved food systems sustainability, better resource management, achievement of EU Green Deal objectives. This is projected by using several models, however, the uncertainties and complex effects on this are not elaborated in detail.","Medium (The models suggest improvements, but the complexity and uncertainty involved are acknowledged).",Information gap between scientific work and policymaking; lack of easily interpretable data for non-scientists.,"Data structuring, model building, stakeholder engagement.","Yes, acknowledges model limitations and complex interdependencies","Not explicitly stated, but implies continued monitoring of model outputs and stakeholder feedback. ",,1.0,True,,6,,,,,,,,0.0,False,,,,,,,,,,BioMonitor,,,,,,,,,,,,,,,,BioMonitor,,,
The BioMonitor model toolbox for addressing critical knowledge gaps in support of the implementation of European Bioeconomy Strategy,2022,BioMonitor,3,BioMonitor,5.0,4.0,True,"Policy makers, bioeconomy stakeholders",Interdisciplinary,Neutral,20,0.5,0.5,12,14,True,Critical knowledge gaps hindering EU bioeconomy implementation,Lack of understanding of complex interactions within the bioeconomy,Regional (EU),Limited understanding of complex interactions and sustainability impacts,BioMonitor model toolbox to explore future scenarios and address knowledge gaps,Provides quantitative and qualitative insights into potential futures of the EU bioeconomy,"Moderate - model based, scenario dependent","Not explicitly identified, but implied by the knowledge gaps mentioned",Development and use of the BioMonitor model toolbox,"Yes, through scenario analysis","Monitoring of sustainability impacts, land and biomass use, and systemic effects, with specific indicators suggested",,0.0,False,,,,,,,,,,1.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Science-policy briefing at the European Parliament,2019,"ECOPOTENTIAL project, IUCN European Regional Office and the European Bureau for Conservation and Sustainable Development",5,ECOPOTENTIAL: IMPROVING FUTURE ECOSYSTEM BENEFITS THROUGH EARTH OBSERVATIONS,6.0,32.0,True,"Policy-makers, scientists, and stakeholders",,Neutral,"{'value': None, 'explanation': 'Cannot be calculated without processing the entire text of the document.  Requires specialized text analysis software.'}","{'value': None, 'explanation': 'Cannot be calculated without processing the entire text of the document. Requires specialized text analysis software.'}","{'value': None, 'explanation': 'Cannot be calculated without processing the entire text of the document. Requires specialized text analysis software.'}","{'value': None, 'explanation': 'Cannot be calculated without processing the entire text of the document. Requires specialized text analysis software.'}","{'value': None, 'explanation': 'Cannot be calculated without processing the entire text of the document. Requires specialized text analysis software.'}",True,Biodiversity loss and degradation of ecosystem services,Science-policy nexus; need for improved monitoring and management,Global,"Human pressures (climate change, land-use change, invasive species, pollution, over-exploitation of resources)","['Expand the use of Earth Observation', 'Invest in the integration of Remote Sensing and in-situ measurements', 'Incorporate Remote Sensing indicators in future environmental strategies', 'Support innovative ideas alongside proven mechanisms of impact and scientific advancement', 'Increase experience sharing and information flow among stakeholders']","Improved monitoring, management, and conservation of ecosystems and biodiversity; better informed policy decisions",Moderate,,"['Increase investment in Earth Observation and related technologies', 'Develop coordinated capacity approaches through European or national support mechanisms', 'Establish communities of practice', 'Improve data sharing and integration', 'Develop better methods for combining remote sensing and in-situ data']",True,,,10.0,True,False,,,Inter-/multidisciplinary,,,,,True,20.0,,,,,,,,,,,,,,,,,,,,,,"['Lack of resources and increased competences', 'Lack of integration and dialogue between climate change and biodiversity communities', 'Limited technical capacity in Protected Areas', 'Licensing issues with datasets', 'Need for ground-truthing of remote sensing data']",,,,,,,,
Policymaker oriented information sheets on ScenarioMIP data,2019,CRESCENDO (Grant Agreement 641816),"Not explicitly stated, but likely multiple authors from the listed contributing organizations",CRESCENDO (H2020-SC5-2014 Advanced Earth-system models),6.0,8.0,,Policymakers,Interdisciplinary,"Neutral, with some explanatory sections","Calculation requires full text, not just OCR output.  OCR output is fragmented","Calculation requires full text, not just OCR output.  OCR output is fragmented","Calculation requires full text, not just OCR output. OCR output is fragmented","Calculation requires full text, not just OCR output.  OCR output is fragmented","Calculation requires full text, not just OCR output. OCR output is fragmented",True,Higher climate sensitivity in CMIP6 models than previous models,"Climate sensitivity, carbon budgets, risk assessment",,,Rapid and deep CO2 reductions;  consideration of high ECS scenarios in policymaking,,,None explicitly identified in the document,None explicitly mentioned,"Yes, the uncertainties surrounding high ECS values and their implications for carbon budgets are discussed","None explicitly provided, but implicit recommendation is to continue monitoring CMIP6 model output and data",,1.0,The document is simply formatted. The color scheme is plain.,,,,,,,,,,2.0,,,,,,,Global,"The impact of CO2 reductions is clear (reduced warming), the impact of considering high ECS scenarios is stated as leading to better future decision-making",,,,,,,Improved representation of cloud feedback mechanisms in CMIP6 models,,,,,,,,,True,,,,"Medium to High - Confidence is expressed in the accuracy of the model improvements, but uncertainty remains about the actual climate sensitivity and its implications for policy.",False,
Good practices in policy for bioeconomy value chains in European regions,2022,Helmholtz Centre for Environmental Research GmbH - UFZ,3,BRANCHES,,,True,Public,,Neutral,20.2,0.48,0.53,16.5,17.2,True,Lack of good policies for bioeconomy value chains,"Regional policies for sustainable bioeconomy development, regulatory and political obstacles, good policy practices",Regional,"Lack of coordination, insufficient communication, vague policy goals, lack of funding","['Regional forest programmes', 'National Forest Strategy', 'National support scheme for private forest owners', 'Forest directive', 'Innovation Hub', 'BioEconomy HUB', 'EIP AGRI', 'Italian strategy for bioeconomy', 'Rural Development Plan', 'Support for renewable energy', 'Priority Programme', 'Energy Policy', 'PhD Programme', 'Environment, Agriculture and Forestry', 'Wine CMO', 'Aragón Circular', 'Cataluña Bioeconomy Strategy', 'Digital Europe Programme', 'OIV research grant program']","Varied and not fully assessed, some policies seem to be more successful than others",Low to medium,True,True,True,True,,8.0,True,False,7,131.0,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Inter-/multidisciplinary
